username,tweet
kopa_mara,"RT @ajmm19923493: Today #HongKongers are walking to work on foot, an action to boycott MTR. They’re chanting Liberate #HongKong, Revolution…"
Tony65983857,RT @_jasmineleung_: #NOW: Over hundreds of @CUHKofficial graduands today have taken the advantage of their congregation to express their #5…
Ernest27951057,"We are sad.
#HKprotests 
#HongKongProtests https://t.co/AuPI2KiB2a"
hkerdede,"RT @Fight4HongKong: 全港悼念周同學：

#HongKong-ers are holding gatherings in remembrance of Tsz-lok in different districts tonight. see below list…"
hong15101980,"RT @frances_sit: Dozens of Tseung Kwan O residents solemnly mourn the death of the UST student at Sheung Tak car park, at the spot where Ch…"
hkerdede,"RT @Fight4HongKong: 周同學悼念活動
Chow Tsz-lok Memorial Service

There will be a memorial service for Chow Tsz-lok tonight:
When: Nov 8th (Fri) 2…"
bb20428139,RT @galileocheng: Angry citizens are chanting “Fxxk off cockroaches! Murderer!” In Chater Garden for flash mob rally and mourning for Alex…
juliusthemonth,RT @LeyleyTsai: The police stopped the guy who has been arrested providing his name to find a lawyer. And this video has been removed from…
Matchbaby_LOL,RT @HongKongFP: A new cartoon from Chinese artist @Badiucao after a student died following a fall during a police operation on Sunday. Full…
P509807Tony,"RT @ClaudiaMCMo: University student Chow Tsz Lok died after falling one floor at a Tseung Kwan O housing estate car park 5 days ago, amid a…"
TangChunHong1,"RT @Woppa1Woppa: Central.  News broke out about Chow's death, and many working class citizens came to Chater Garden during their lunch brea…"
Jobi94722015,"Schoolmates Mourned 22-year-old Chow. Chow Tsz-lok passed away on Nov 8 after a fall, which turned out to be fatal,… https://t.co/M4Z7LMsXQK"
CarrieC_Hker,RT @HongKongFP: Cause of Hong Kong university student’s fall remains unclear as car park owner releases CCTV footage https://t.co/KyHSyVD6h…
coluvjim,"RT @ClaudiaMCMo: University student Chow Tsz Lok died after falling one floor at a Tseung Kwan O housing estate car park 5 days ago, amid a…"
akachanmoon,"RT @frances_sit: Dozens of Tseung Kwan O residents solemnly mourn the death of the UST student at Sheung Tak car park, at the spot where Ch…"
kohitsujiabyss,RT @Woppa1Woppa: Scene at #HKUST.  The stage used for graduation ceremony has turned into a memorial site for Alex Chow.  While most at the…
KaKuroinu,"RT @Woppa1Woppa: QE Hospital.  #HKUST student association wish for the press give Chow's family personal space, and also investigate why #H…"
lily04022018,RT @Woppa1Woppa: Lunch break in Central.  These are not the typical young protesters.  You're looking at people in dress shirts and busines…
Hebe76900618,RT @HongKongFP: Cause of Hong Kong university student’s fall remains unclear as car park owner releases CCTV footage https://t.co/KyHSyVD6h…
HeyBabyYuki,"RT @FreedomHKG: StudentChow injured under Suspicious Circumstances!
#HongKongProtests #RipChow #HKHumanRightsandDemocracyAct 
#StandWithHon…"
tcsf_kei,"RT @VivienneChow: This alone needs independent investigation bcos no matter what the police say, public won’t believe them. RIP #HongKongPr…"
sky32436606,RT @HongKongFP: Cause of Hong Kong university student’s fall remains unclear as car park owner releases CCTV footage https://t.co/KyHSyVD6h…
dannykong88,RT @liamstone_19: #HongKong protesters vandalized a  Genki Sushi branch and robbed the money. #HongKongProtests https://t.co/CoNE4ck5sX
Wintericecccc,RT @JOceanW: A group of students are now marching to the residence of the university president Wei Shyy to demand him to condemn police vio…
bb20428139,RT @Woppa1Woppa: Lunch break in Central.  These are not the typical young protesters.  You're looking at people in dress shirts and busines…
LokxrSvenger,RT @HongKongFP: A new cartoon from Chinese artist @Badiucao after a student died following a fall during a police operation on Sunday. Full…
bb20428139,"RT @Woppa1Woppa: QE Hospital.  #HKUST student association wish for the press give Chow's family personal space, and also investigate why #H…"
Hongkong_Bear,"RT @frances_sit: Dozens of Tseung Kwan O residents solemnly mourn the death of the UST student at Sheung Tak car park, at the spot where Ch…"
mattantinucci,"RT @VivienneChow: This alone needs independent investigation bcos no matter what the police say, public won’t believe them. RIP #HongKongPr…"
a2210798315,"RT @Woppa1Woppa: Central.  News broke out about Chow's death, and many working class citizens came to Chater Garden during their lunch brea…"
Polly59638624,"RT @HKWORLDCITY: Hong Kong Police Seeks to Hack Telegram, Key Tool in Protests: Source #HongKongProtests #AntiELAB #FreeHongKong https://t.…"
yuuu18140033,"RT @ClaudiaMCMo: University student Chow Tsz Lok died after falling one floor at a Tseung Kwan O housing estate car park 5 days ago, amid a…"
UchihaI38738740,RT @Woppa1Woppa: Lunch break in Central.  These are not the typical young protesters.  You're looking at people in dress shirts and busines…
lenglui63,RT @LeyleyTsai: The police stopped the guy who has been arrested providing his name to find a lawyer. And this video has been removed from…
gumyani,"RT @tictoc: JUST IN: Hong Kong student Chow Tsz-lok who fell near an area of confrontation between protesters and police has died, SCMP rep…"
OUISF1,RT @LeyleyTsai: The police stopped the guy who has been arrested providing his name to find a lawyer. And this video has been removed from…
FokKim2,RT @JOceanW: A group of students are now marching to the residence of the university president Wei Shyy to demand him to condemn police vio…
Bluemoon615,"RT @Dystopia992: The moment when #HKPolice fired tear gas at #press, on a police vehicle before they leave.

Proof of #HKPoliceTerrorism —…"
TangChunHong1,"RT @Woppa1Woppa: #HKPolice say they didn't enter the parking lot BEFORE Chow fell off?  Yeah, they lied again.  Dash cam footage shows them…"
KeiTH_Mcfly,RT @HongKongFP: A new cartoon from Chinese artist @Badiucao after a student died following a fall during a police operation on Sunday. Full…
ku_bi_ko,"RT @tictoc: ""You will have your revenge!""

Protesters blame the Hong Kong police for the death of 22-year-old Chow Tsz-lok (#周梓樂) who fell…"
currygasamos,RT @LeyleyTsai: The police stopped the guy who has been arrested providing his name to find a lawyer. And this video has been removed from…
Tony65983857,RT @Peggy_fung: How crazy is this photo showing the riot police just opened the door and shot directly at the journalist ignoring the fact…
ada_chok,"RT @tictoc: JUST IN: Hong Kong student Chow Tsz-lok who fell near an area of confrontation between protesters and police has died, SCMP rep…"
tami_doku,RT @HongKongFP: Hong Kong student’s death prompts fresh anger and protests https://t.co/czMez4UHHy #HongKong #China #antiELABhk #antiELAB #…
icomefrommars1,RT @JOceanW: A group of students are now marching to the residence of the university president Wei Shyy to demand him to condemn police vio…
1877_R,"RT @tictoc: JUST IN: Hong Kong student Chow Tsz-lok who fell near an area of confrontation between protesters and police has died, SCMP rep…"
WallsCrush,"RT @CH_HONGKONG: #hongkongpolice basically aren’t professional anymore, just doing everything based on their emotion. no police will be hel…"
Hk3Orville,"RT @Woppa1Woppa: QE Hospital.  #HKUST student association wish for the press give Chow's family personal space, and also investigate why #H…"
Hk3Orville,"RT @ajmm19923493: A flash mob march during lunch hour in Central. #HongKong working class is paying tribute to Chow Tsz-Lok, and demanding…"
wijaya_48,RT @CarlZha: Mainland Chinese student framed for “pushing” a masked protester and then beaten by crowd of #HongKongProtesters at #HongKong…
c2n7ZuVCs3W2FOP,RT @LeyleyTsai: The police stopped the guy who has been arrested providing his name to find a lawyer. And this video has been removed from…
HeyBabyYuki,RT @JOceanW: It’s graduation day and HKUST received the horrible news that one or their own passed away. Some students are putting up #anti…
domole,"RT @yuen_cecil: #HKPolice confirmed that the dead body found at Yau Tong is believed to be a 15 year-old girl. 

VTC confirmed that Chan wa…"
Dega_Sian,"RT @frances_sit: Dozens of Tseung Kwan O residents solemnly mourn the death of the UST student at Sheung Tak car park, at the spot where Ch…"
yaofugen,RT @HongKongFP: A new cartoon from Chinese artist @Badiucao after a student died following a fall during a police operation on Sunday. Full…
10angel011,RT @liamstone_19: #HongKong students/protesters waving USA flags at their graduation ceremony. #HongKongProtests https://t.co/wzNfWzMpNx
Mil39267503,RT @Woppa1Woppa: Scene at #HKUST.  The stage used for graduation ceremony has turned into a memorial site for Alex Chow.  While most at the…
icomefrommars1,RT @ajmm19923493: #CUHK students stood with their back facing the stage when #China national anthem was played at their graduation ceremony…
nanaseyuu,"RT @tictoc: JUST IN: Hong Kong student Chow Tsz-lok who fell near an area of confrontation between protesters and police has died, SCMP rep…"
HeyBabyYuki,"RT @frances_sit: Around a hundred #HongKong protesters have occupied the junction of Pedder Street &amp;Des Voeux Road Central,in a flash mob s…"
Aura_Forestsee,"RT @tictoc: ""You will have your revenge!""

Protesters blame the Hong Kong police for the death of 22-year-old Chow Tsz-lok (#周梓樂) who fell…"
KaKuroinu,"RT @ray_slowbeat: Viral video: it looks like Sheung Tak parking garage in #TseungKwanO where a college student, 22yo man surnamed Chow, fel…"
FokKim2,RT @Woppa1Woppa: Scene at #HKUST.  The stage used for graduation ceremony has turned into a memorial site for Alex Chow.  While most at the…
LimLim32761696,"RT @ClaudiaMCMo: University student Chow Tsz Lok died after falling one floor at a Tseung Kwan O housing estate car park 5 days ago, amid a…"
DariusBazargan,RT @lilo11: Protests continue in Hong Kong as student dies. @Channel4News goes behind the scenes with the “frontliners”. Shot by @ivanabreu…
petec2019,RT @JOceanW: It’s graduation day and HKUST received the horrible news that one or their own passed away. Some students are putting up #anti…
0QVruqnx4j4kSYS,RT @Woppa1Woppa: #HKUST.  Students continue supporting Chow and some parents joined the chants and gave them applause.  At the end they lef…
ChaFaBaby1,"RT @ClaudiaMCMo: University student Chow Tsz Lok died after falling one floor at a Tseung Kwan O housing estate car park 5 days ago, amid a…"
petec2019,RT @JOceanW: A group of students are now marching to the residence of the university president Wei Shyy to demand him to condemn police vio…
ohamycheung,"RT @ClaudiaMCMo: University student Chow Tsz Lok died after falling one floor at a Tseung Kwan O housing estate car park 5 days ago, amid a…"
Summer_onFire,RT @LeyleyTsai: The police stopped the guy who has been arrested providing his name to find a lawyer. And this video has been removed from…
TangChunHong1,RT @JOceanW: A group of students are now marching to the residence of the university president Wei Shyy to demand him to condemn police vio…
minamaya13,#HongKong student's death sparks impromptu protests and vigils from pro-democracy activists.. #AlexChow fell from t… https://t.co/irnGdMQtfN
Chiufung2,RT @Woppa1Woppa: Lunch break in Central.  These are not the typical young protesters.  You're looking at people in dress shirts and busines…
crazyyhy,"RT @FreedomEugeneUS: In response to delayed police action, Sec. of Security John Lee said the 24000 calls on 7/21 YuenLong attack were from…"
icomefrommars1,"RT @ajmm19923493: #HKUST principal Wei Shyy led students &amp; staff to stand in silent tribute to Chow Tsz-lok, who passed away this morning.…"
Polly59638624,"RT @WilsonLeungWS: Hong Kong Government bans ""inappropriate songs"" in schools. 
Coming soon: banning ""inappropriate thoughts"", ""inappropria…"
hkwuliff,"RT @VivienneChow: This alone needs independent investigation bcos no matter what the police say, public won’t believe them. RIP #HongKongPr…"
OUISF1,"RT @tictoc: Up to 88% of Hong Kong’s 7.4 million have been exposed to tear gas.

More via @bw: https://t.co/P3UnPqjYHy #HongKongProtests #香…"
ltzeyau1,"RT @tictoc: JUST IN: Hong Kong student Chow Tsz-lok who fell near an area of confrontation between protesters and police has died, SCMP rep…"
PM_Thornton,"HKFP: 16-year-old convicted in #HognKong for carrying laser pointer, hiking pole and modified umbrella at… https://t.co/NYP5koL83x"
WongSiuDing1,RT @Woppa1Woppa: Scene at #HKUST.  The stage used for graduation ceremony has turned into a memorial site for Alex Chow.  While most at the…
crazyyhy,"RT @ajmm19923493: Today #HongKongers are walking to work on foot, an action to boycott MTR. They’re chanting Liberate #HongKong, Revolution…"
TangChunHong1,RT @Woppa1Woppa: Lunch break in Central.  These are not the typical young protesters.  You're looking at people in dress shirts and busines…
ChaFaBaby1,RT @LeyleyTsai: The police stopped the guy who has been arrested providing his name to find a lawyer. And this video has been removed from…
kong730,RT @HongKongFP: A new cartoon from Chinese artist @Badiucao after a student died following a fall during a police operation on Sunday. Full…
mochimuss,RT @LeyleyTsai: The police stopped the guy who has been arrested providing his name to find a lawyer. And this video has been removed from…
You_9393,RT @Woppa1Woppa: Lunch break in Central.  These are not the typical young protesters.  You're looking at people in dress shirts and busines…
icomefrommars1,"RT @ray_slowbeat: Viral video: it looks like Sheung Tak parking garage in #TseungKwanO where a college student, 22yo man surnamed Chow, fel…"
Eltonau2,RT @LeyleyTsai: The police stopped the guy who has been arrested providing his name to find a lawyer. And this video has been removed from…
Polly59638624,"RT @Dystopia992: The moment when #HKPolice fired tear gas at #press, on a police vehicle before they leave.

Proof of #HKPoliceTerrorism —…"
Kaman53972484,"RT @tictoc: JUST IN: Hong Kong student Chow Tsz-lok who fell near an area of confrontation between protesters and police has died, SCMP rep…"
aqua4HK,RT @frances_sit: Police arrived at the scene to urge ppl to leave &amp; warning them they could be charged for participating in an illegal asse…
CarrieC_Hker,RT @Woppa1Woppa: Scene at #HKUST.  The stage used for graduation ceremony has turned into a memorial site for Alex Chow.  While most at the…
thelittleneedl1,"RT @tictoc: JUST IN: Hong Kong student Chow Tsz-lok who fell near an area of confrontation between protesters and police has died, SCMP rep…"
KinkiSub,RT @Woppa1Woppa: Lunch break in Central.  These are not the typical young protesters.  You're looking at people in dress shirts and busines…
HiItsLong,"RT @tictoc: JUST IN: Hong Kong student Chow Tsz-lok who fell near an area of confrontation between protesters and police has died, SCMP rep…"
wentpm0131,"RT @tictoc: JUST IN: Hong Kong student Chow Tsz-lok who fell near an area of confrontation between protesters and police has died, SCMP rep…"
tgclark56,"RT @frances_sit: Dozens of Tseung Kwan O residents solemnly mourn the death of the UST student at Sheung Tak car park, at the spot where Ch…"
TommiLeung,"RT @forest14847126: @StephenMcDonell @WesJWHK So everything can be regarded as offensive weapons as long as the possessor has the INTENT, w…"
WongSiuDing1,"@realKyleOlbert No tanks and machine guns, but everyday there are suspious death and suicidal cases, not to mention… https://t.co/ksKdN1p2ep"
sep_hk,"RT @frances_sit: Dozens of Tseung Kwan O residents solemnly mourn the death of the UST student at Sheung Tak car park, at the spot where Ch…"
LTango2,"RT @tictoc: JUST IN: Hong Kong student Chow Tsz-lok who fell near an area of confrontation between protesters and police has died, SCMP rep…"
Hehahea2,RT @frances_sit: Police arrived at the scene to urge ppl to leave &amp; warning them they could be charged for participating in an illegal asse…
Haji_Bajuri,RT @frances_sit: Hundreds of #HongKong people have participated in flash-mob marches/rallies in diff districts to mourn the death of the US…
IsaacPhua2,"RT @Woppa1Woppa: #HKPolice say they didn't enter the parking lot BEFORE Chow fell off?  Yeah, they lied again.  Dash cam footage shows them…"
Jobi94722015,"RT @thetimeusedtobe: #NOW at the Congregation Ceremony of HKUST.

Just received the news of 22y.o. student Chow's death, HKUST's vice-chanc…"
Ian_chu719,"RT @Woppa1Woppa: Central.  News broke out about Chow's death, and many working class citizens came to Chater Garden during their lunch brea…"
iwtdlst,"RT @ajmm19923493: Today #HongKongers are walking to work on foot, an action to boycott MTR. They’re chanting Liberate #HongKong, Revolution…"
cityofteargas,"RT @tictoc: 🇭🇰 ""Give us the truth.""

Masked protesters marched in Hong Kong's Central business district to demand an investigation on the p…"
zisstbear,"RT @Kayla_852: #JuniusHo Kwan Yiu got attacked on 6Nov morning,but Pro-Beijing press, Ta Kung Po created a post on 5Nov 7:54pm,then added t…"
crazyyhy,RT @_jasmineleung_: #NOW: Over hundreds of @CUHKofficial graduands today have taken the advantage of their congregation to express their #5…
Mil39267503,"RT @ajmm19923493: A flash mob march during lunch hour in Central. #HongKong working class is paying tribute to Chow Tsz-Lok, and demanding…"
badiucao,"RT @VivienneChow: This alone needs independent investigation bcos no matter what the police say, public won’t believe them. RIP #HongKongPr…"
yyy_kin,RT @Woppa1Woppa: Scene at #HKUST.  The stage used for graduation ceremony has turned into a memorial site for Alex Chow.  While most at the…
ZeaGho,RT @Woppa1Woppa: Scene at #HKUST.  The stage used for graduation ceremony has turned into a memorial site for Alex Chow.  While most at the…
Suteki_minus,"RT @Fight4HongKong: 周同學悼念活動
Chow Tsz-lok Memorial Service

There will be a memorial service for Chow Tsz-lok tonight:
When: Nov 8th (Fri) 2…"
deadoku,RT @HongKongFP: A new cartoon from Chinese artist @Badiucao after a student died following a fall during a police operation on Sunday. Full…
TeresaW17993222,"RT @ajmm19923493: A flash mob march during lunch hour in Central. #HongKong working class is paying tribute to Chow Tsz-Lok, and demanding…"
yyy_kin,"RT @lauinhk: Latest slogan: ""Hongkongers, revenge! "" The second word of the slogan used to be ""add oil"", which evolved into ""resist"". And n…"
yuvi_nation,"#RT @tictoc: ""You will have your revenge!""

Protesters blame the Hong Kong police for the death of 22-year-old Chow… https://t.co/Fh8ycrQjJh"
yuvi_nation,"#RT @tictoc: 🇭🇰 ""Give us the truth.""

Masked protesters marched in Hong Kong's Central business district to demand… https://t.co/pw6XBobORK"
iamdominickwok,"RT @ajmm19923493: Int’l students from #China did it again! This time at Truman State U, Kirksville, Missouri. 🇨🇳 folks stormed a Free #Hong…"
wanderlust811,RT @LeyleyTsai: The police stopped the guy who has been arrested providing his name to find a lawyer. And this video has been removed from…
badiucao,RT @HongKongFP: A new cartoon from Chinese artist @Badiucao after a student died following a fall during a police operation on Sunday. Full…
Donna45595179,RT @Woppa1Woppa: Scene at #HKUST.  The stage used for graduation ceremony has turned into a memorial site for Alex Chow.  While most at the…
OUISF1,"RT @ajmm19923493: Today #HongKongers are walking to work on foot, an action to boycott MTR. They’re chanting Liberate #HongKong, Revolution…"
FokKim2,"RT @Woppa1Woppa: QE Hospital.  #HKUST student association wish for the press give Chow's family personal space, and also investigate why #H…"
haritho,"RT @frances_sit: Dozens of Tseung Kwan O residents solemnly mourn the death of the UST student at Sheung Tak car park, at the spot where Ch…"
KellyCh82590564,"RT @frances_sit: A boy subdued at MTR station exit, after police arrived again to clear the road blocks #HongKongProtests https://t.co/sg6o…"
Donna45595179,RT @Peggy_fung: How crazy is this photo showing the riot police just opened the door and shot directly at the journalist ignoring the fact…
Waterhhhhhhhh,RT @Woppa1Woppa: Scene at #HKUST.  The stage used for graduation ceremony has turned into a memorial site for Alex Chow.  While most at the…
hongshui93,RT @Woppa1Woppa: Scene at #HKUST.  The stage used for graduation ceremony has turned into a memorial site for Alex Chow.  While most at the…
KellyCh82590564,"RT @frances_sit: Around a hundred #HongKong protesters have occupied the junction of Pedder Street &amp;Des Voeux Road Central,in a flash mob s…"
CarrieC_Hker,RT @JOceanW: A group of students are now marching to the residence of the university president Wei Shyy to demand him to condemn police vio…
CrayonPersian,"RT @tictoc: @business 🇭🇰 ""No matter how they prosecute activists, we will continue our fight in such uphill battle.""  

Hong Kong activist…"
Nana_hairy,RT @JOceanW: It’s graduation day and HKUST received the horrible news that one or their own passed away. Some students are putting up #anti…
vu2pqm,"RT @tictoc: JUST IN: Hong Kong student Chow Tsz-lok who fell near an area of confrontation between protesters and police has died, SCMP rep…"
juliusthemonth,RT @HongKongFP: Cause of Hong Kong university student’s fall remains unclear as car park owner releases CCTV footage https://t.co/KyHSyVD6h…
Chiufung2,"RT @tictoc: JUST IN: Hong Kong student Chow Tsz-lok who fell near an area of confrontation between protesters and police has died, SCMP rep…"
2cats4,"RT @frances_sit: Dozens of Tseung Kwan O residents solemnly mourn the death of the UST student at Sheung Tak car park, at the spot where Ch…"
oldboydamien,RT @HongKongFP: A new cartoon from Chinese artist @Badiucao after a student died following a fall during a police operation on Sunday. Full…
driftclock,"RT @antielabhk: We are in deeply sorrow to our bro, Chow Tsz Lok’s death. After being found with serious brain injuries, he fought for 5 da…"
mintcho95795318,RT @Woppa1Woppa: Lunch break in Central.  These are not the typical young protesters.  You're looking at people in dress shirts and busines…
OUISF1,RT @Woppa1Woppa: Lunch break in Central.  These are not the typical young protesters.  You're looking at people in dress shirts and busines…
crystal66655042,"RT @tictoc: JUST IN: Hong Kong student Chow Tsz-lok who fell near an area of confrontation between protesters and police has died, SCMP rep…"
LimLim32761696,"RT @yuen_cecil: #RestInPeace gathering for Chow Tsz-lok (周梓樂)
8pm, 8 Nov 2019 (Today)
#Lennon, Tsuen Wan, #HongKongProtests https://t.co/1g…"
JLai81634403,"RT @lauinhk: Latest slogan: ""Hongkongers, revenge! "" The second word of the slogan used to be ""add oil"", which evolved into ""resist"". And n…"
Hehahea2,RT @Woppa1Woppa: Lunch break in Central.  These are not the typical young protesters.  You're looking at people in dress shirts and busines…
Samsamchung1,RT @LeyleyTsai: The police stopped the guy who has been arrested providing his name to find a lawyer. And this video has been removed from…
KiritoW8,"RT @CH_HONGKONG: #hongkongpolice basically aren’t professional anymore, just doing everything based on their emotion. no police will be hel…"
Nana_hairy,RT @HongKongFP: Cause of Hong Kong university student’s fall remains unclear as car park owner releases CCTV footage https://t.co/KyHSyVD6h…
FokKim2,RT @LeyleyTsai: The police stopped the guy who has been arrested providing his name to find a lawyer. And this video has been removed from…
poonling12,"RT @badiucao: A mainland student held a knife towards the graduates of CUHK and sang the Chinese National Anthem.

to b honest i think his…"
WesJWHK,RT @JOceanW: It’s graduation day and HKUST received the horrible news that one or their own passed away. Some students are putting up #anti…
KaKuroinu,RT @JOceanW: A group of students are now marching to the residence of the university president Wei Shyy to demand him to condemn police vio…
FokKim2,"RT @ajmm19923493: Today #HongKongers are walking to work on foot, an action to boycott MTR. They’re chanting Liberate #HongKong, Revolution…"
CarrieC_Hker,"RT @Woppa1Woppa: Central.  News broke out about Chow's death, and many working class citizens came to Chater Garden during their lunch brea…"
ChinchewP,RT @frances_sit: Hundreds of #HongKong people have participated in flash-mob marches/rallies in diff districts to mourn the death of the US…
CarmenKwan926,"RT @lauinhk: Latest slogan: ""Hongkongers, revenge! "" The second word of the slogan used to be ""add oil"", which evolved into ""resist"". And n…"
poonling12,"RT @galileocheng: The march has unprecedented anger towards police of everyone chanting “Police, repay the bloody debt w blood” #antiELAB #…"
Amy45835277,"RT @Woppa1Woppa: QE Hospital.  #HKUST student association wish for the press give Chow's family personal space, and also investigate why #H…"
karmen04061,"RT @tictoc: JUST IN: Hong Kong student Chow Tsz-lok who fell near an area of confrontation between protesters and police has died, SCMP rep…"
poonling12,RT @Woppa1Woppa: Lunch break in Central.  These are not the typical young protesters.  You're looking at people in dress shirts and busines…
y_n_y1,"RT @VivienneChow: This alone needs independent investigation bcos no matter what the police say, public won’t believe them. RIP #HongKongPr…"
